name,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,yellow_cards,GW,predicted_goals
Juan Larios López,Southampton,-0.3619047619047619,0.0,0.0,0.0,0.0,0.0,464.0,0.0,0.0,0.0,0.0,106.42857142857143,0.0,0.0,0.0,0.0,0.0,10.047619047619047,0.0,0.0,0.0,0.0,11.0,0.0,7479.714285714285,0.0,1.5714285714285714,1.2857142857142858,0.0,0.0,-233.61904761904762,148.95238095238096,382.57142857142856,40.0,0.0,31,0.001
Harry Toffolo,Nott'm Forest,0.04285714285714285,0.0,0.0,0.38095238095238093,0.0,0.15714285714285714,444.0,0.0004761904761904762,0.0014285714285714286,0.0009523809523809524,0.035238095238095235,106.47619047619048,0.047619047619047616,0.0,0.13333333333333333,0.8666666666666666,2.142857142857143,10.761904761904763,0.0,0.0,0.0,0.0,11.0,0.0,6424.714285714285,0.0,1.2380952380952381,1.1428571428571428,0.2857142857142857,0.14285714285714285,-225.28571428571428,99.57142857142857,324.85714285714283,43.333333333333336,0.0,31,0.001
Toby Collyer,Man Utd,-0.009523809523809521,0.0,0.0,0.9523809523809523,0.0,0.6761904761904761,613.0,0.0009523809523809524,0.0009523809523809524,0.0,0.05904761904761905,105.95238095238095,0.047619047619047616,0.0,0.1714285714285714,0.9142857142857143,3.857142857142857,10.714285714285714,0.0,0.0,0.0,0.0,11.0,0.0,4885.9047619047615,0.0,1.2857142857142858,1.3333333333333333,0.09523809523809523,0.09523809523809523,67.28571428571429,489.6190476190476,422.3333333333333,45.0,0.0,31,0.001
Caleb Wiley,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,575.0,0.0,0.0,0.0,0.0,105.66666666666667,0.0,0.0,0.0,0.0,0.0,10.19047619047619,0.0,0.0,0.0,0.0,11.0,0.0,2779.9523809523807,0.0,1.7619047619047619,1.4285714285714286,0.0,0.0,-178.61904761904762,0.0,178.61904761904762,40.0,0.0,31,0.001
Ethan Pinnock,Brentford,1.5761904761904764,0.0,0.0,7.714285714285714,0.047619047619047616,4.652380952380953,104.0,0.03,0.07142857142857142,0.041428571428571426,1.3395238095238096,103.76190476190476,1.4285714285714286,0.09523809523809523,3.4428571428571426,20.885714285714286,68.57142857142857,11.238095238095237,0.047619047619047616,0.0,0.0,0.0,11.0,0.0,77993.71428571429,0.7619047619047619,1.5238095238095237,2.142857142857143,8.80952380952381,1.5714285714285714,-751.0952380952381,8491.095238095239,9242.190476190477,44.95238095238095,0.09523809523809523,31,0.001
Igor Thiago Nascimento Rodrigues,Brentford,0.16666666666666666,0.0,0.0,0.9523809523809523,0.0,1.3285714285714285,107.0,0.0009523809523809524,0.005714285714285714,0.004761904761904762,0.12,103.76190476190476,0.09523809523809523,0.0,0.2,0.5142857142857143,6.142857142857143,11.238095238095237,0.0,0.0,0.0,0.0,11.0,0.0,2483.190476190476,0.047619047619047616,1.5238095238095237,2.142857142857143,0.2857142857142857,0.23809523809523808,-86.38095238095238,164.23809523809524,250.61904761904762,59.095238095238095,0.0,31,0.001
Micky van de Ven,Spurs,1.4952380952380953,0.09523809523809523,0.09523809523809523,6.095238095238095,0.09523809523809523,1.7428571428571429,506.0,0.032857142857142856,0.049523809523809526,0.01666666666666667,0.46619047619047616,107.66666666666667,0.5238095238095238,0.0,1.1333333333333333,7.666666666666667,37.523809523809526,9.904761904761905,0.0,0.0,0.0,0.0,11.0,0.0,638220.9523809524,0.42857142857142855,1.8095238095238095,1.7619047619047619,1.9047619047619047,1.3333333333333333,-21096.47619047619,48875.142857142855,69971.61904761905,45.42857142857143,0.19047619047619047,31,0.001
Moussa Diaby,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,103.38095238095238,0.0,0.0,0.0,0.0,0.0,10.80952380952381,0.0,0.0,0.0,0.0,11.0,0.0,2049.904761904762,0.0,1.1904761904761905,1.8095238095238095,0.0,0.0,-160.23809523809524,0.0,160.23809523809524,65.0,0.0,31,0.001
Rúben Gato Alves Dias,Man City,1.7666666666666668,0.0,0.047619047619047616,6.857142857142857,0.14285714285714285,5.742857142857143,361.0,0.03523809523809524,0.08857142857142858,0.05333333333333334,0.7561904761904762,106.28571428571429,0.6666666666666666,0.0,2.0428571428571427,11.019047619047619,51.714285714285715,10.476190476190476,0.047619047619047616,0.0,0.0,0.0,11.0,0.0,358336.04761904763,0.5714285714285714,1.4761904761904763,1.7142857142857142,3.619047619047619,1.3333333333333333,-11690.380952380952,15946.238095238095,27636.619047619046,54.523809523809526,0.14285714285714285,31,0.001
Samuel Edozie,Southampton,0.019047619047619046,0.0,0.0,0.2857142857142857,0.0,0.9047619047619048,459.0,0.007142857142857143,0.007142857142857143,0.0,0.014761904761904763,106.42857142857143,0.0,0.0,0.24285714285714283,0.4666666666666667,3.0476190476190474,10.047619047619047,0.0,0.0,0.0,0.0,11.0,0.0,1500.0,0.0,1.5714285714285714,1.2857142857142858,1.0476190476190477,0.047619047619047616,-102.9047619047619,22.047619047619047,124.95238095238095,49.095238095238095,0.047619047619047616,31,0.001
Robert Sánchez,Chelsea,3.4380952380952383,0.0,0.3333333333333333,12.80952380952381,0.19047619047619047,0.0,185.0,0.0004761904761904762,0.0004761904761904762,0.0,1.2566666666666666,105.66666666666667,1.0952380952380953,0.0,2.4428571428571426,24.504761904761907,81.42857142857143,10.19047619047619,0.0,0.0,0.047619047619047616,0.0,11.0,3.0952380952380953,1128258.3333333333,0.9047619047619048,1.7619047619047619,1.4285714285714286,0.0,3.3333333333333335,50181.47619047619,102159.33333333333,51977.857142857145,46.95238095238095,0.19047619047619047,31,0.001
