name,team,GW,predicted_clean_sheets
Jay Stansfield,Fulham,31,0.1890681007766192
Mikey Moore,Spurs,31,0.18899290634412136
Archie Gray,Spurs,31,0.188973918579128
Dejan Kulusevski,Spurs,31,0.18879344529756642
Issa Diop,Fulham,31,0.18865273678688085
Giovani Lo Celso,Spurs,31,0.18833693101579696
Mykhailo Mudryk,Chelsea,31,0.18822316424720945
Ângelo Gabriel Borges Damaceno,Chelsea,31,0.18817005692036243
Emiliano Buendía Stati,Aston Villa,31,0.18808551781524532
James Maddison,Spurs,31,0.18791590162516955
Mikkel Damsgaard,Brentford,31,0.18789906800302986
Miodrag Pivaš,Newcastle,31,0.18775780093963534
Joe Willock,Newcastle,31,0.18766599496104652
Danny Ings,West Ham,31,0.18757461354443253
Carlos Miguel dos Santos Pereira,Nott'm Forest,31,0.18731200813916568
Murillo Santiago Costa dos Santos,Nott'm Forest,31,0.18714217216117243
Lesley Ugochukwu,Chelsea,31,0.1870580989414429
Asher Agbinone,Crystal Palace,31,0.18685621775855504
Nicolas Jackson,Chelsea,31,0.1866102683276705
Guido Rodríguez,West Ham,31,0.18603447841964607
Rodrigo Bentancur,Spurs,31,0.18602750570174148
Kristoffer Ajer,Brentford,31,0.18549172230424946
Solly March,Brighton,31,0.18529045882407164
André Onana,Man Utd,31,0.18528030786700103
Mads Roerslev Rasmussen,Brentford,31,0.18507336118719814
Emerson Leite de Souza Junior,Spurs,31,0.1849798621231575
Yankuba Minteh,Brighton,31,0.184970294838662
Ruairi McConville,Brighton,31,0.18493510321848647
John McGinn,Aston Villa,31,0.18482239073578205
Eddie Nketiah,Crystal Palace,31,0.1847013567759109
Josh Bowler,Nott'm Forest,31,0.1846042958647478
Miguel Almirón Rejala,Newcastle,31,0.18451219140094216
Richarlison de Andrade,Spurs,31,0.18445590689910593
