name,team,position,GW,predicted_goals,minutes,raw_predicted_goals,blended_prediction,min_probability
Patson Daka,Leicester,FWD,31,0.06,11.142857142857142,0.0,0.0617797695262484,0.04000000000000001
Remy Rees-Dottin,Bournemouth,FWD,31,0.06,0.0,0.0,0.0617797695262484,0.04000000000000001
Neal Maupay,Everton,FWD,31,0.06,0.0,0.0,0.0617797695262484,0.04000000000000001
Diogo Dalot Teixeira,Man Utd,DEF,31,0.06,84.0952380952381,0.0001939487975174554,0.007446782664630053,0.06
Carlos Vinícius Alves Morais,Fulham,FWD,31,0.06,0.14285714285714285,0.0,0.0617797695262484,0.04000000000000001
Yankuba Minteh,Brighton,MID,31,0.06,31.285714285714285,0.0035664335664335666,0.0285078904935959,0.06257142857142857
Emmanuel Agbadou,Wolves,DEF,31,0.06,90.0,0.0001939487975174554,0.007446782664630053,0.06
Victor Kristiansen,Leicester,DEF,31,0.06,75.0952380952381,0.0001939487975174554,0.007446782664630053,0.06
Kyle Walker-Peters,Southampton,DEF,31,0.06,80.47619047619048,0.0001939487975174554,0.007446782664630053,0.06
Pervis Estupiñán,Brighton,DEF,31,0.06,63.42857142857143,0.0001939487975174554,0.007446782664630053,0.06
Tino Livramento,Newcastle,DEF,31,0.06,66.61904761904762,0.0001939487975174554,0.007446782664630053,0.06
Manuel Akanji,Man City,DEF,31,0.06,69.33333333333333,0.0001939487975174554,0.007446782664630053,0.06
Destiny Udogie,Spurs,DEF,31,0.06,68.0952380952381,0.0001939487975174554,0.007446782664630053,0.06
Deniz Undav,Brighton,FWD,31,0.06,0.0,0.0,0.0617797695262484,0.04000000000000001
Marc Guéhi,Crystal Palace,DEF,31,0.06,85.71428571428571,0.0029717265752952334,0.008835671553518942,0.06
Ibrahima Konaté,Liverpool,DEF,31,0.06,56.45,0.0,0.007349808265871325,0.05645
Freddie Ladapo,Ipswich,FWD,31,0.06,0.0,0.0,0.0617797695262484,0.04000000000000001
Ivan Toney,Brentford,FWD,31,0.06,0.0,0.0,0.0617797695262484,0.04000000000000001
Nathan Collins,Brentford,DEF,31,0.06,90.0,0.05047136582493448,0.03258549117833857,0.06
Zach Marsh,Crystal Palace,FWD,31,0.06,0.0,0.0,0.0617797695262484,0.04000000000000001
Emerson Palmieri dos Santos,West Ham,DEF,31,0.06,68.14285714285714,0.0007766993802680381,0.007738157956005344,0.06
Pau Torres,Aston Villa,DEF,31,0.06,73.76190476190476,0.0001939487975174554,0.007446782664630053,0.06
Max Kilman,West Ham,DEF,31,0.06,86.57142857142857,0.0020770656806343383,0.008388341106188494,0.06
Tyler Adams,Bournemouth,MID,31,0.06,28.142857142857142,0.0,0.026724673710379118,0.056285714285714286
Gabriel dos Santos Magalhães,Arsenal,DEF,31,0.06,77.52380952380952,0.01386154917100018,0.014280582851371414,0.06
Martin Sherif,Everton,FWD,31,0.06,0.0,0.0,0.0617797695262484,0.04000000000000001
Ethan Pinnock,Brentford,DEF,31,0.06,68.57142857142857,0.0011939487975174553,0.007946782664630054,0.06
Armando Broja,Chelsea,FWD,31,0.06,0.0,0.0,0.0617797695262484,0.04000000000000001
Daniel Muñoz,Crystal Palace,DEF,31,0.06,81.61904761904762,0.022998002494716317,0.018848809513229484,0.06
Enes Ünal,Bournemouth,FWD,31,0.06,15.714285714285714,0.003352272727272727,0.06345590588988476,0.05238095238095239
Will Lankshear,Spurs,FWD,31,0.06,0.42857142857142855,0.0,0.0617797695262484,0.04000000000000001
Dan Burn,Newcastle,DEF,31,0.06,85.71428571428571,0.0001939487975174554,0.007446782664630053,0.06
William Saliba,Arsenal,DEF,31,0.06,82.80952380952381,0.0001939487975174554,0.007446782664630053,0.06
Odsonne Edouard,Leicester,FWD,31,0.06,1.368421052631579,0.0,0.0617797695262484,0.04000000000000001
Richarlison de Andrade,Spurs,FWD,31,0.06,4.714285714285714,0.0,0.0617797695262484,0.04000000000000001
Emmanuel Dennis,Nott'm Forest,FWD,31,0.06,0.0,0.0,0.0617797695262484,0.04000000000000001
Fábio Silva,Wolves,FWD,31,0.06,0.0,0.0,0.0617797695262484,0.04000000000000001
Paul Onuachu,Southampton,FWD,31,0.06,15.523809523809524,0.0,0.0617797695262484,0.051746031746031755
Ola Aina,Nott'm Forest,DEF,31,0.06,86.80952380952381,0.0001939487975174554,0.007446782664630053,0.06
Vitalii Mykolenko,Everton,DEF,31,0.06,77.75,0.0007495043530730108,0.007724560442407831,0.06
Tyrick Mitchell,Crystal Palace,DEF,31,0.06,86.76190476190476,0.0001939487975174554,0.007446782664630053,0.06
