name,team,minutes,xP,threat,bps,transfers_in,expected_goals,GW,predicted_goals
Luke Cundle,Wolves,0.0,-0.09523809523809523,0.0,0.0,1571.047619047619,0.0,23,0.001
Jan Bednarek,Southampton,71.75862068965517,0.7965517241379311,0.5517241379310345,7.9655172413793105,100086.24137931035,0.022413793103448276,23,0.001
André Onana,Man Utd,90.0,3.454838709677419,0.0,13.516129032258064,261620.70967741936,0.0,23,0.001
Deivid Washington de Souza Eugênio,Chelsea,0.0,0.2571428571428572,0.0,0.0,747.2380952380952,0.0,23,0.001
Lewis O'Brien,Nott'm Forest,0.0,0.0,0.0,0.0,0.0,0.0,23,0.001
Cesare Casadei,Chelsea,0.0,0.23809523809523808,0.0,0.0,1080.095238095238,0.0,23,0.001
James Justin,Leicester,81.51724137931035,1.2827586206896553,5.517241379310345,5.103448275862069,64664.34482758621,0.049999999999999996,23,0.001
Djed Spence,Spurs,41.43333333333333,1.49,0.4666666666666667,7.466666666666667,24154.9,0.01633333333333333,23,0.001
Konstantinos Mavropanos,West Ham,58.766666666666666,1.2066666666666668,3.2666666666666666,7.033333333333333,4987.533333333334,0.052000000000000005,23,0.001
Armel Bella-Kotchap,Southampton,7.0,-0.6434782608695653,0.0,0.30434782608695654,6544.95652173913,0.0,23,0.001
Rodrigo Martins Gomes,Wolves,23.26923076923077,0.9346153846153846,2.6923076923076925,5.230769230769231,1684.3076923076924,0.01423076923076923,23,0.001
Lamare Bogarde,Aston Villa,15.32,0.05600000000000001,0.08,0.92,7031.04,0.0016,23,0.001
Noussair Mazraoui,Man Utd,78.36666666666666,2.396666666666667,2.4,12.4,405114.63333333336,0.020666666666666667,23,0.001
Cameron Archer,Southampton,41.903225806451616,0.8870967741935484,8.516129032258064,4.258064516129032,65619.16129032258,0.16419354838709677,23,0.001
Ezri Konsa Ngoyo,Aston Villa,79.51724137931035,2.0413793103448277,2.7241379310344827,11.689655172413794,230084.89655172414,0.02793103448275862,23,0.001
Alfie Devine,Spurs,0.0,0.047619047619047616,0.0,0.0,224.57142857142858,0.0,23,0.001
Elkan Baggott,Ipswich,0.0,0.0,0.0,0.0,0.0,0.0,23,0.001
Leif Davis,Ipswich,85.23076923076923,1.7884615384615385,4.384615384615385,8.153846153846153,39616.92307692308,0.03307692307692307,23,0.001
Matt Turner,Nott'm Forest,0.0,0.75,0.0,0.0,15896.5,0.0,23,0.001
Rayan Aït-Nouri,Wolves,81.90625,2.64375,6.8125,11.3125,342073.34375,0.0721875,23,0.001
Juan Larios López,Southampton,0.0,-0.3619047619047619,0.0,0.0,148.95238095238096,0.0,23,0.001
Harry Toffolo,Nott'm Forest,2.142857142857143,0.04285714285714285,0.2857142857142857,0.38095238095238093,99.57142857142857,0.0009523809523809524,23,0.001
Toby Collyer,Man Utd,6.96,0.04,0.08,1.6,1228.44,0.0032,23,0.001
Caleb Wiley,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,23,0.001
Ethan Pinnock,Brentford,70.81481481481481,1.6185185185185187,6.851851851851852,8.62962962962963,14218.555555555555,0.04,23,0.001
William Saliba,Arsenal,84.96774193548387,4.625806451612903,2.870967741935484,16.35483870967742,944767.0645161291,0.06935483870967742,23,0.001
Altay Bayindir,Man Utd,0.0,-0.014285714285714277,0.0,0.0,294.6666666666667,0.0,23,0.001
Rodrigo Bentancur,Spurs,45.935483870967744,1.096774193548387,2.774193548387097,8.580645161290322,5096.225806451613,0.04387096774193549,23,0.001
Chris Richards,Crystal Palace,49.172413793103445,1.286206896551724,0.8620689655172413,7.827586206896552,5213.586206896552,0.034482758620689655,23,0.001
Alex Mighten,Nott'm Forest,0.0,0.07142857142857142,0.0,0.0,32.80952380952381,0.0,23,0.001
Hamza Choudhury,Leicester,6.142857142857143,-0.09999999999999998,0.2857142857142857,1.380952380952381,19267.619047619046,0.0,23,0.001
Vitaly Janelt,Brentford,70.4,2.1866666666666665,3.4,12.066666666666666,10829.433333333332,0.024333333333333335,23,0.001
Idrissa Gueye,Everton,79.25,2.253125,2.46875,13.28125,19124.9375,0.034687499999999996,23,0.001
Antony Matheus dos Santos,Man Utd,6.136363636363637,0.24090909090909093,3.272727272727273,1.6818181818181819,1838.9545454545455,0.02727272727272728,23,0.001
Kalvin Phillips,Ipswich,44.77777777777778,0.5666666666666667,1.0,6.037037037037037,1557.5925925925926,0.016296296296296295,23,0.001
Chadi Riad Dnanou,Crystal Palace,4.285714285714286,0.09047619047619047,0.0,0.14285714285714285,104.76190476190476,0.0,23,0.001
Freddie Ladapo,Ipswich,0.0,-0.07142857142857142,0.0,0.0,2851.5238095238096,0.0,23,0.001
Levi Colwill,Chelsea,86.89655172413794,2.7448275862068963,2.1724137931034484,12.068965517241379,131663.62068965516,0.034482758620689655,23,0.001
Nick Pope,Newcastle,70.71428571428571,3.164285714285714,0.0,10.571428571428571,144702.35714285713,0.0,23,0.001
Jorge Luiz Frello Filho,Arsenal,28.541666666666668,1.3791666666666667,0.125,4.583333333333333,4231.041666666667,0.0025,23,0.001
Luke Woolfenden,Ipswich,37.91304347826087,0.1956521739130435,0.2608695652173913,3.608695652173913,17893.82608695652,0.0013043478260869564,23,0.001
Łukasz Fabiański,West Ham,48.63636363636363,1.4681818181818185,0.0,6.0,157773.63636363635,0.0,23,0.001
Joe Gomez,Liverpool,25.85,1.41,2.9,4.15,12179.4,0.016499999999999997,23,0.001
Kurt Zouma,West Ham,0.0,0.04285714285714285,0.0,0.0,256.0,0.0,23,0.001
Dominic Calvert-Lewin,Everton,71.4090909090909,2.377272727272727,21.136363636363637,6.681818181818182,59413.681818181816,0.27499999999999997,23,0.001
Yerson Mosquera,Wolves,21.0,0.014285714285714285,1.0,1.1428571428571428,5785.0,0.015714285714285715,23,0.001
Konstantinos Tsimikas,Liverpool,20.92,1.568,0.92,6.32,5573.68,0.0048,23,0.001
Christian Nørgaard,Brentford,73.54838709677419,2.109677419354839,5.129032258064516,14.67741935483871,8692.806451612903,0.1,23,0.001
Emiliano Martínez Romero,Aston Villa,87.09677419354838,2.467741935483871,0.0,11.548387096774194,473951.6129032258,0.0,23,0.001
Pascal Groß,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,23,0.001
Gabriel dos Santos Magalhães,Arsenal,78.76666666666667,4.3933333333333335,8.533333333333333,15.3,1131658.8,0.09000000000000001,23,0.001
Mohammed Kudus,West Ham,69.93548387096774,1.9806451612903226,14.096774193548388,8.806451612903226,100113.67741935483,0.19677419354838707,23,0.001
Benicio Baker-Boaitey,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,23,0.001
Sékou Mara,Southampton,0.0,-0.004761904761904761,0.0,0.0,37.23809523809524,0.0,23,0.001
Mason Holgate,Everton,0.25,0.075,0.0,-0.05,589.3,0.0,23,0.001
Wesley Fofana,Chelsea,50.95652173913044,1.0217391304347827,1.2608695652173914,7.043478260869565,6166.434782608696,0.019130434782608695,23,0.001
