name,team,position,GW,opponent_name,was_home,fixture_difficulty,predicted_goals,raw_predicted_goals,fixture_adjusted_goals,blended_prediction,min_probability,opponent_team,team_attacking,opp_defending
Kenny Tete,Fulham,DEF,38,Man City,True,-3.0,0.06,0.004871753246753247,0.0,0.006594470857545343,0.057727272727272724,13,1150,1350
Levi Colwill,Chelsea,DEF,38,Nott'm Forest,False,0.0,0.06,0.0,0.0,0.006594470857545343,0.06,16,1150,1190
Noussair Mazraoui,Man Utd,DEF,38,Aston Villa,True,-2.5,0.06,0.0,0.0,0.006594470857545343,0.06,2,1120,1270
Matt Doherty,Wolves,DEF,38,Brentford,True,-3.4,0.06,0.0027142857142857147,0.0,0.006594470857545343,0.05535483870967741,4,1070,1310
Marc Cucurella Saseta,Chelsea,DEF,38,Nott'm Forest,False,0.0,0.06,0.0024583333333333336,0.0024583333333333336,0.00819238752421201,0.06,16,1150,1190
Toti António Gomes,Wolves,DEF,38,Brentford,True,-3.4,0.06,0.001342948717948718,0.0,0.006594470857545343,0.06,4,1070,1310
Pedro Porro,Spurs,DEF,38,Brighton,True,-0.7,0.06,0.01981367243867244,0.0,0.006594470857545343,0.06,5,1090,1160
Pervis Estupiñán,Brighton,DEF,38,Spurs,False,-0.7,0.06,0.0008333333333333333,0.0,0.006594470857545343,0.06,18,1140,1210
Leif Davis,Ipswich,DEF,38,West Ham,True,-0.75,0.06,0.0,0.0,0.006594470857545343,0.06,19,1070,1120
Konstantinos Mavropanos,West Ham,DEF,38,Ipswich,False,0.25,0.06,0.0,0.025000000000000022,0.022844470857545356,0.05876666666666666,10,1080,1080
Daniel Muñoz,Crystal Palace,DEF,38,Liverpool,False,-4.55,0.06,0.05494659507159507,0.0,0.006594470857545343,0.06,12,1140,1370
Jarrad Branthwaite,Everton,DEF,38,Newcastle,False,-1.8,0.06,0.0008333333333333333,0.0,0.006594470857545343,0.06,15,1140,1250
Nikola Milenković,Nott'm Forest,DEF,38,Chelsea,True,-1.6,0.06,0.023029234654234645,0.0,0.006594470857545343,0.06,6,1200,1320
Rayan Aït-Nouri,Wolves,DEF,38,Brentford,True,-3.4,0.06,0.012788419913419915,0.0,0.006594470857545343,0.06,4,1070,1310
Trevoh Chalobah,Crystal Palace,DEF,38,Liverpool,False,-4.55,0.06,0.025710291145635975,0.0,0.006594470857545343,0.05888888888888888,12,1140,1370
James Justin,Leicester,DEF,38,Bournemouth,False,-2.9,0.06,0.0,0.0,0.006594470857545343,0.06,3,1080,1260
Yehor Yarmoliuk,Brentford,MID,38,Wolves,False,0.6,0.06,0.0,0.05999999999999994,0.061756091496767744,0.064,20,1080,1120
Lewis Dunk,Brighton,DEF,38,Spurs,False,-0.7,0.06,0.0,0.0,0.006594470857545343,0.06,18,1140,1210
Marc Guéhi,Crystal Palace,DEF,38,Liverpool,False,-4.55,0.06,0.00980723443223443,0.0,0.006594470857545343,0.06,12,1140,1370
Wout Faes,Leicester,DEF,38,Bournemouth,False,-2.9,0.06,0.001,0.0,0.006594470857545343,0.06,3,1080,1260
Nathan Collins,Brentford,DEF,38,Wolves,False,0.6,0.06,0.011891520244461419,0.07189152024446135,0.053323959016445224,0.06,20,1080,1120
Aaron Wan-Bissaka,West Ham,DEF,38,Ipswich,False,0.25,0.06,0.0022916666666666667,0.02729166666666669,0.024334054190878692,0.06,10,1080,1080
Maxence Lacroix,Crystal Palace,DEF,38,Liverpool,False,-4.55,0.06,0.008876840479781654,0.0,0.006594470857545343,0.06,12,1140,1370
Emmanuel Agbadou,Wolves,DEF,38,Brentford,True,-3.4,0.06,0.0004009552538964304,0.0,0.006594470857545343,0.06,4,1070,1310
Christopher Nkunku,Chelsea,MID,38,Nott'm Forest,False,0.0,0.06,0.011581709956709959,0.011581709956709959,0.030284202968629253,0.06026666666666666,16,1150,1190
Diogo Dalot Teixeira,Man Utd,DEF,38,Aston Villa,True,-2.5,0.06,0.003190656565656566,0.0,0.006594470857545343,0.06,2,1120,1270
Wesley Fofana,Chelsea,DEF,38,Nott'm Forest,False,0.0,0.05,0.0,0.0,0.006594470857545343,0.050956521739130435,16,1150,1190
Ayden Heaven,Man Utd,DEF,38,Aston Villa,True,-2.5,0.05,0.001,0.0,0.006594470857545343,0.047499999999999994,2,1120,1270
Jannik Vestergaard,Leicester,DEF,38,Bournemouth,False,-2.9,0.05,0.001,0.0,0.006594470857545343,0.050217391304347825,3,1080,1260
Craig Dawson,Wolves,DEF,38,Brentford,True,-3.4,0.05,0.0,0.0,0.006594470857545343,0.046142857142857145,4,1070,1310
Ashley Young,Everton,DEF,38,Newcastle,False,-1.8,0.05,0.001,0.0,0.006594470857545343,0.054357142857142854,15,1140,1250
Cristian Romero,Spurs,DEF,38,Brighton,True,-0.7,0.05,0.0014285714285714286,0.0,0.006594470857545343,0.052730769230769234,5,1090,1160
