name,team,position,GW,opponent_name,was_home,fixture_difficulty,predicted_goals,raw_predicted_goals,fixture_adjusted_goals,blended_prediction,min_probability,opponent_team,team_attacking,opp_defending
Mohammed Kudus,West Ham,MID,36,Man Utd,False,-0.45,0.12,0.017277189870939874,0.0,0.02275609149676778,0.12,14,1080,1110
André Trindade da Costa Neto,Wolves,MID,36,Brighton,True,-1.45,0.12,0.0,0.0,0.02275609149676778,0.12,5,1070,1160
Ryan Christie,Bournemouth,MID,36,Aston Villa,True,-1.6,0.12,0.0030952380952380953,0.0,0.02275609149676778,0.12,2,1130,1270
Alejandro Garnacho,Man Utd,MID,36,West Ham,True,0.15,0.12,0.04234391828141828,0.05734391828141829,0.06002963837968967,0.1166875,19,1120,1120
Marshall Munetsi,Wolves,MID,36,Brighton,True,-1.45,0.12,0.10642005611490904,0.0,0.02275609149676778,0.12,5,1070,1160
Gabriel Martinelli Silva,Arsenal,MID,36,Liverpool,False,-0.2,0.12,0.1710709083889766,0.15107090838897658,0.12095218194960256,0.12,12,1370,1370
Abdoulaye Doucouré,Everton,MID,36,Fulham,False,-0.35,0.12,0.007469155844155844,0.0,0.02275609149676778,0.12,9,1140,1150
Orel Mangala,Everton,MID,36,Fulham,False,-0.35,0.12,0.0021527777777777778,0.0,0.02275609149676778,0.12,9,1140,1150
Jefferson Lerma Solís,Crystal Palace,MID,36,Spurs,False,-0.9,0.12,0.0008333333333333333,0.0,0.02275609149676778,0.12,18,1140,1210
John McGinn,Aston Villa,MID,36,Bournemouth,False,-0.8,0.12,0.0,0.0,0.02275609149676778,0.12,3,1160,1260
Julio Enciso,Ipswich,MID,36,Brentford,True,-3.6,0.12,0.02016178266178266,0.0,0.02275609149676778,0.12,4,1070,1310
Joelinton Cássio Apolinário de Lira,Newcastle,MID,36,Chelsea,True,-2.2,0.12,0.021682364557364556,0.0,0.02275609149676778,0.12,6,1140,1320
Jacob Murphy,Newcastle,MID,36,Chelsea,True,-2.2,0.12,0.12939182941094463,0.0,0.02275609149676778,0.12,6,1140,1320
Sandro Tonali,Newcastle,MID,36,Chelsea,True,-2.2,0.12,0.01009453781512605,0.0,0.02275609149676778,0.12,6,1140,1320
Moisés Caicedo Corozo,Chelsea,MID,36,Newcastle,False,-0.6,0.12,0.0,0.0,0.02275609149676778,0.12,15,1150,1250
Mikkel Damsgaard,Brentford,MID,36,Ipswich,False,1.2,0.12,0.029654556896847643,0.14965455689684765,0.12003155347971875,0.12,10,1080,1080
Tomáš Souček,West Ham,MID,36,Man Utd,False,-0.45,0.12,0.019871675246675248,0.0,0.02275609149676778,0.12,14,1080,1110
Flynn Downes,Southampton,MID,36,Man City,True,-4.95,0.12,0.0,0.0,0.02275609149676778,0.12,13,1050,1350
Enzo Fernández,Chelsea,MID,36,Newcastle,False,-0.6,0.12,0.06957857242380436,0.009578572423804416,0.02898216357224065,0.12,15,1150,1250
Ismaïla Sarr,Crystal Palace,MID,36,Spurs,False,-0.9,0.12,0.2348421464156759,0.1448421464156759,0.1169034866669571,0.12,18,1140,1210
Leandro Trossard,Arsenal,MID,36,Liverpool,False,-0.2,0.12,0.10064406869535303,0.08064406869535301,0.07517473614874723,0.12,12,1370,1370
Georginio Rutter,Brighton,MID,36,Wolves,False,0.75,0.12,0.01038365800865801,0.08538365800865796,0.07825546920239546,0.11792857142857144,20,1140,1120
Mateus Gonçalo Espanha Fernandes,Southampton,MID,36,Man City,True,-4.95,0.12,0.019736736711001415,0.0,0.02275609149676778,0.12,13,1050,1350
Sander Berge,Fulham,MID,36,Everton,True,0.75,0.12,0.0006666666666666666,0.07566666666666662,0.07193942483010107,0.12,8,1150,1100
Thomas Partey,Arsenal,MID,36,Liverpool,False,-0.2,0.12,0.011404845154845156,0.0,0.02275609149676778,0.12,12,1370,1370
James Maddison,Spurs,MID,36,Crystal Palace,True,-0.1,0.12,0.1625115622222136,0.15251156222221365,0.12188860694120665,0.11896551724137931,7,1090,1120
Sam Morsy,Ipswich,MID,36,Brentford,True,-3.6,0.12,0.0,0.0,0.02275609149676778,0.12,4,1070,1310
James Ward-Prowse,West Ham,MID,36,Man Utd,False,-0.45,0.12,0.0016666666666666666,0.0,0.02275609149676778,0.12,14,1080,1110
Bruno Guimarães Rodriguez Moura,Newcastle,MID,36,Chelsea,True,-2.2,0.12,0.01846916971916972,0.0,0.02275609149676778,0.12,6,1140,1320
Carlos Baleba,Brighton,MID,36,Wolves,False,0.75,0.12,0.010621212121212122,0.08562121212121207,0.07840987937555563,0.12,20,1140,1120
Son Heung-min,Spurs,MID,36,Crystal Palace,True,-0.1,0.12,0.126845040172246,0.11684504017224603,0.0987053676087277,0.12,7,1090,1120
Wilfred Ndidi,Leicester,MID,36,Nott'm Forest,False,-2.2,0.12,0.0013257575757575756,0.0,0.02275609149676778,0.12,16,1080,1190
Bilal El Khannouss,Leicester,MID,36,Nott'm Forest,False,-2.2,0.12,0.0,0.0,0.02275609149676778,0.11626666666666667,16,1080,1190
Justin Kluivert,Bournemouth,MID,36,Aston Villa,True,-1.6,0.12,0.28825197989868245,0.12825197989868242,0.10611987843091136,0.12,2,1130,1270
Carlos Alcaraz Durán,Everton,MID,36,Fulham,False,-0.35,0.11,0.025918262293262294,0.0,0.02275609149676778,0.11057142857142856,9,1140,1150
Mathys Tel,Spurs,MID,36,Crystal Palace,True,-0.1,0.11,0.03699703521255246,0.026997035212552506,0.04030416438492691,0.11399999999999999,7,1090,1120
Boubakary Soumaré,Leicester,MID,36,Nott'm Forest,False,-2.2,0.11,0.0007142857142857143,0.0,0.02275609149676778,0.113375,16,1080,1190
Pedro Lomba Neto,Chelsea,MID,36,Newcastle,False,-0.6,0.11,0.025439255189255192,0.0,0.02275609149676778,0.1084375,15,1150,1250
Dango Ouattara,Bournemouth,MID,36,Aston Villa,True,-1.6,0.11,0.10458829397126401,0.0,0.02275609149676778,0.1104375,2,1130,1270
Manuel Ugarte,Man Utd,MID,36,West Ham,True,0.15,0.11,0.0,0.015000000000000013,0.03250609149676779,0.11303703703703703,19,1120,1120
Harry Winks,Leicester,MID,36,Nott'm Forest,False,-2.2,0.11,0.0,0.0,0.02275609149676778,0.11377777777777777,16,1080,1190
Andreas Hoelgebaum Pereira,Fulham,MID,36,Everton,True,0.75,0.11,0.023845474108632008,0.09884547410863197,0.08700564966737856,0.1142,8,1150,1100
Jadon Sancho,Chelsea,MID,36,Newcastle,False,-0.6,0.11,0.010732142857142857,0.0,0.02275609149676778,0.11055172413793102,15,1150,1250
Edson Álvarez Velázquez,West Ham,MID,36,Man Utd,False,-0.45,0.11,0.0,0.0,0.02275609149676778,0.11255172413793103,14,1080,1110
Marcus Tavernier,Bournemouth,MID,36,Aston Villa,True,-1.6,0.11,0.020765295515295518,0.0,0.02275609149676778,0.10517241379310344,2,1130,1270
Tyler Dibling,Southampton,MID,36,Man City,True,-4.95,0.11,0.0047619047619047615,0.0,0.02275609149676778,0.11441379310344826,13,1050,1350
Darwin Núñez Ribeiro,Liverpool,FWD,36,Arsenal,True,0.6,0.11,0.031009018759018767,0.0910090187590187,0.1127611253512569,0.11264367816091957,1,1340,1300
Jens Cajuste,Ipswich,MID,36,Brentford,True,-3.6,0.11,0.0007142857142857143,0.0,0.02275609149676778,0.11299999999999999,4,1070,1310
Adama Traoré,Fulham,MID,36,Everton,True,0.75,0.1,0.009970959595959596,0.08497095959595954,0.07798721523414148,0.09696774193548387,8,1150,1100
Amadou Onana,Aston Villa,MID,36,Bournemouth,False,-0.8,0.1,0.003464285714285714,0.0,0.02275609149676778,0.0963076923076923,3,1160,1260
Diogo Teixeira da Silva,Liverpool,MID,36,Arsenal,True,0.6,0.1,0.06413467303769026,0.1241346730376902,0.10344362897126641,0.07385714285714286,1,1340,1300
Pape Matar Sarr,Spurs,MID,36,Crystal Palace,True,-0.1,0.1,0.0,0.0,0.02275609149676778,0.10357142857142856,7,1090,1120
